Company: 100 Al Sultan Industrial Cement,,,,,,,,,,,,,,,,,,
Production orders,,,,,,,,,,,,,,,,,,
Parent project,Production orders,Description,Item code,Item description,Planning,Actual,Unit,Selection code,Warehouse,Cost center,Person,Status,Start date,End date,Attachment,Note,Overdue,Position number
,,,AG0-3,Aggregate 0-3,"13,577.90000000","13,577.90000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"9,502.90000000","9,502.90000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/4,Aggregate 3/4,"24,450.00000000","24,450.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"2,713.95000000","2,713.95000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"6,788.95000000","6,788.95000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"8,150.00000000","8,150.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,FP260X915,FP260X915,26.89500000,26.89500000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,FP315X915,FP315X915,26.89500000,26.89500000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066935,Kerbstone,K10BN60-003,Kerbstone 60x30x10 B/N,"1,250.00000000","1,250.00000000",Nos,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"114,752.50000000","114,752.50000000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"24,037.50000000","24,037.50000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"16,825.00000000","16,825.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/4,Aggregate 3/4,"43,262.50000000","43,262.50000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"4,800.00000000","4,800.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"12,012.50000000","12,012.50000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"13,750.00000000","13,750.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,FP300X600,FP300X600,32.50000000,32.50000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,FP310X600,FP310X600,32.50000000,32.50000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066936,Kerbstone,K15CH60-002,Kerbstone 60x35x15 15ch,"1,175.00000000","1,175.00000000",Nos,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"96,885.80000000","96,885.80000000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"20,257.00000000","20,257.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"14,170.50000000","14,170.50000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/4,Aggregate 3/4,"36,464.95000000","36,464.95000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"4,042.00000000","4,042.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"10,128.50000000","10,128.50000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"11,750.00000000","11,750.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,FP350X600,FP350X600,36.42500000,36.42500000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,FP365X600,FP365X600,36.42500000,36.42500000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066937,Kerbstone,KFH60-004,Kerbstone 60x30x15 Flush,"1,260.00000000","1,260.00000000",Nos,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"83,616.12000000","83,616.12000000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"17,488.80000000","17,488.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"12,247.20000000","12,247.20000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/4,Aggregate 3/4,"31,500.00000000","31,500.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"3,490.20000000","3,490.20000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"8,744.40000000","8,744.40000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"10,080.00000000","10,080.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,FP300X600,FP300X600,32.76000000,32.76000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,FP310X600,FP310X600,32.76000000,32.76000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066938,Plant-01 Day Shift,LALLO6SGR100,Rectangle 60x30/6cm/Grey/Single Mix,"1,788.48000000","1,788.48000000",M2,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"275,247.07200000","275,247.07200000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"53,654.40000000","53,654.40000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG2-5,Aggregate 2-5 mm.,0.00000000,0.00000000,Ton,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"107,308.80000000","107,308.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"53,654.40000000","53,654.40000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"17,884.80000000","17,884.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"41,135.04000000","41,135.04000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,STS01,Strapping Steel (black),"1,609.63200000","1,609.63200000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066939,Plant-01 Night Shift,LALLO6SGR100,Rectangle 60x30/6cm/Grey/Single Mix,"1,973.16000000","1,973.16000000",M2,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"303,669.32400000","303,669.32400000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"59,194.80000000","59,194.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG2-5,Aggregate 2-5 mm.,0.00000000,0.00000000,Ton,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"118,389.60000000","118,389.60000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"59,194.80000000","59,194.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"19,731.60000000","19,731.60000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"45,382.68000000","45,382.68000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,STS01,Strapping Steel (black),"1,775.84400000","1,775.84400000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066940,Plant-02 Day Shift,RECO8RD100,Rectangle 20x10/8cm/Red,858.00000000,858.00000000,M2,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/6/2028,No,No,0,
,,Standard,,,"181,274.80800000","146,954.80800000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"34,320.00000000",0.00000000,kg,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG2-5,Aggregate 2-5 mm.,0.00000000,0.00000000,Ton,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"68,640.00000000","68,640.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"34,320.00000000","34,320.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"11,439.71400000","11,439.71400000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"31,746.00000000","31,746.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,PRD01,Pigment Red,714.71400000,714.71400000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,STS01,Strapping Steel (black),94.38000000,94.38000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066941,Plant-02 Day Shift,UNBO8RD100,Uni Block/8cm/Red,571.39000000,571.39000000,M2,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,7/4/2027,No,No,0,
,,Standard,,,"121,018.68783000","98,163.08783000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"22,855.60000000",0.00000000,kg,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG2-5,Aggregate 2-5 mm.,0.00000000,0.00000000,Ton,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"45,711.20000000","45,711.20000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"22,855.60000000","22,855.60000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"7,618.34287000","7,618.34287000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"21,141.43000000","21,141.43000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,PRD01,Pigment Red,773.66206000,773.66206000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,STS01,Strapping Steel (black),62.85290000,62.85290000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066942,Plant-02 Night Shift,LALO6TN100,Square 30x30/6cm/Tan,286.20000000,286.20000000,M2,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"44,300.61180000","44,300.61180000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"8,586.00000000","8,586.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG2-5,Aggregate 2-5 mm.,0.00000000,0.00000000,Ton,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"17,172.00000000","17,172.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"8,586.00000000","8,586.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"2,862.00000000","2,862.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"6,582.60000000","6,582.60000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,PTN01,Pigment Tan  (Orange ),254.43180000,254.43180000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,STS01,Strapping Steel (black),257.58000000,257.58000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066943,Plant-02 Night Shift,LAL40O6RD100,Rectangle 40x20/6cm/Red,324.00000000,324.00000000,M2,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"49,863.60000000","49,863.60000000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"9,720.00000000","9,720.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG2-5,Aggregate 2-5 mm.,0.00000000,0.00000000,Ton,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"19,440.00000000","19,440.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"9,720.00000000","9,720.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"3,240.00000000","3,240.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"7,452.00000000","7,452.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,STS01,Strapping Steel (black),291.60000000,291.60000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066944,Plant-02 Night Shift,QUOO6RD100,Octagon/6cm/Red,519.12000000,519.12000000,M2,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"80,217.01800000","49,069.81800000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"15,573.60000000",0.00000000,kg,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG2-5,Aggregate 2-5 mm.,0.00000000,0.00000000,Ton,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"31,147.20000000","31,147.20000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"15,573.60000000",0.00000000,kg,,1,,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"5,191.20000000","5,191.20000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"11,939.76000000","11,939.76000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,PRD01,Pigment Red,324.45000000,324.45000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,STS01,Strapping Steel (black),467.20800000,467.20800000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066945,Plant-02 Night Shift,LASO6BN100,Square 10x10/6cm/Brown,216.00000000,216.00000000,M2,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"33,431.18400000","33,431.18400000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"6,480.00000000","6,480.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
